"Step","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R__MIN","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R__MAX","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R__MIN","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R__MAX"
"200","0.2890625","0.2890625","0.2890625","0.140625","0.140625","0.140625"
"205","0.36328125","0.36328125","0.36328125","0.1259765625","0.1259765625","0.1259765625"
"210","0.2841796875","0.2841796875","0.2841796875","0.0458984375","0.0458984375","0.0458984375"
"215","0.30859375","0.30859375","0.30859375","0.1005859375","0.1005859375","0.1005859375"
"220","","","","0.1396484375","0.1396484375","0.1396484375"
"225","","","","0.1328125","0.1328125","0.1328125"
"230","","","","0.1513671875","0.1513671875","0.1513671875"
"235","","","","0.244140625","0.244140625","0.244140625"
"240","","","","0.1875","0.1875","0.1875"
"245","","","","0.22265625","0.22265625","0.22265625"
"250","","","","0.2236328125","0.2236328125","0.2236328125"
"255","","","","0.1455078125","0.1455078125","0.1455078125"
"260","","","","0.1611328125","0.1611328125","0.1611328125"
"265","","","","0.216796875","0.216796875","0.216796875"
"270","","","","0.3046875","0.3046875","0.3046875"
"275","","","","0.2607421875","0.2607421875","0.2607421875"
"280","","","","0.2802734375","0.2802734375","0.2802734375"
"285","","","","0.3798828125","0.3798828125","0.3798828125"
"290","","","","0.2080078125","0.2080078125","0.2080078125"
"295","","","","0.162109375","0.162109375","0.162109375"
"300","","","","0.2333984375","0.2333984375","0.2333984375"
"305","","","","0.244140625","0.244140625","0.244140625"
"310","","","","0.33984375","0.33984375","0.33984375"
"315","","","","0.4130859375","0.4130859375","0.4130859375"
"320","","","","0.2685546875","0.2685546875","0.2685546875"
"325","","","","0.4228515625","0.4228515625","0.4228515625"
"330","","","","0.4765625","0.4765625","0.4765625"
"335","","","","0.3212890625","0.3212890625","0.3212890625"
"340","","","","0.333984375","0.333984375","0.333984375"
"345","","","","0.4140625","0.4140625","0.4140625"
"350","","","","0.365234375","0.365234375","0.365234375"
"355","","","","0.4150390625","0.4150390625","0.4150390625"
"360","","","","0.314453125","0.314453125","0.314453125"
"365","","","","0.3974609375","0.3974609375","0.3974609375"
"370","","","","0.31640625","0.31640625","0.31640625"
"375","","","","0.2685546875","0.2685546875","0.2685546875"
"380","","","","0.3349609375","0.3349609375","0.3349609375"
"385","","","","0.3095703125","0.3095703125","0.3095703125"
"390","","","","0.41015625","0.41015625","0.41015625"
